0,0,0,9.5347272728784846e-12,-2738095238.0952387,0,0,0,0,-2110616085.7848964,15173613123.95075,-2110616085.7848964,0,0,0,0,-2738095238.0952387,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,-5476190476.1904774,9.5347272728784846e-12,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,950727739.89861619,-1901455479.7972322,950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,912698630.30267155,-1901455479.7972322,988756849.49456084,0,0,0,0,-494378424.74728042,494378424.74728042,0,0,0,0,0,0,0,0,0,0,1901455479.7972324,-1901455479.7972324,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.5347272728784846e-12,-912698412.6984129,0,0,0,0,-2110616085.7848964,6674108149.2769604,0,0,0,0,0,-912698412.6984129,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,456349315.15133578,0,0,0,0,950727739.89861619,-950727739.89861608,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,912698630.30267155,-1901455479.7972322,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,988756849.49456084,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1825396825.3968258,0,0,0,0,0,3441633933.3568707,-703538695.26163208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-912698412.6984129,-9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494378424.74728042,0,0,0,0,0,-950727739.89861608,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-456349315.15133578,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.1846864862418797e-12,0,0,0,0,0,1.2884763513003914e-11,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9.5347272728784846e-12,-2738095238.0952387,0,0,0,0,-703538695.26163208,6883267866.7137413,-703538695.26163208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,-9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,494378424.74728042,-950727739.89861608,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-456349315.15133578,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,456349315.15133578,-950727739.89861608,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.5347272728784846e-12,-2738095238.0952377,0,0,0,0,-703538695.26163208,6883267866.7137403,-703538695.26163197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952382,-9.534727272878483e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861608,0,0,0,0,494378424.74728042,-950727739.89861596,456349315.15133566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-456349315.15133566,456349315.15133566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,456349315.15133578,-950727739.89861608,494378424.7472803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861608,-950727739.89861596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.534727272878483e-12,-2738095238.0952382,0,0,0,0,-703538695.26163197,6883267866.7137394,-703538695.26163208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952377,-9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861596,950727739.89861608,0,0,0,0,494378424.7472803,-950727739.89861608,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-456349315.15133578,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133566,-456349315.15133566,0,0,0,0,456349315.15133566,-950727739.89861596,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861608,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9.5347272728784846e-12,-2738095238.0952387,0,0,0,0,-703538695.26163208,6883267866.7137413,-703538695.26163208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,-9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,494378424.74728042,-950727739.89861608,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-456349315.15133578,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,456349315.15133578,-950727739.89861608,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9.5347272728784846e-12,-912698412.6984129,0,0,0,0,-703538695.26163208,3441633933.3568707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1825396825.3968258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,456349315.15133578,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,456349315.15133578,-950727739.89861608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1825396825.3968258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8499504974.6737862,-2110616085.7848964,0,0,0,0,-2738095238.0952387,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-1825396825.3968258,1.9069454545756969e-11,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,0,1.7462110740951005e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8654290539011746e-11,988756849.49456084,0,0,0,0,912698630.30267155,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,1.7462110740951005e-31,494378424.74728042,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950727739.89861608,950727739.89861619,0,0,0,0,-456349315.15133578,950727739.89861619,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0,0,0,0,0,0,0
1.9069454545756969e-11,-2738095238.0952387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2110616085.7848964,15173613123.95075,-2110616085.7848964,0,0,0,0,-5476190476.1904774,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,1.9069454545756969e-11,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912698630.30267155,-1901455479.7972322,988756849.49456084,0,0,0,0,1901455479.7972324,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,494378424.74728042,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-1901455479.7972322,950727739.89861619,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0
0,1.9069454545756969e-11,-2738095238.0952377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2110616085.7848964,15173613123.950741,-2110616085.7848959,0,0,0,0,-5476190476.1904755,1.9069454545756966e-11,0,0,0,0,0,0,0,0,0,0,-2738095238.0952377,1.9069454545756966e-11,0,0,0,0,1.5204012773913773e-11,9.534727272878483e-12,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912698630.30267155,-1901455479.7972322,988756849.4945606,0,0,0,0,1901455479.7972322,-1901455479.7972319,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,494378424.7472803,0,0,0,0,950727739.89861608,-950727739.89861596,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-1901455479.7972322,950727739.89861596,0,0,0,0,-950727739.89861608,950727739.89861596,0,0,0,0,0,0,0,0,0,0,950727739.89861608,-950727739.89861596,0,0,0,0,950727739.89861608,-950727739.89861596,0,0,0,0,0,0,0,0
0,0,1.9069454545756966e-11,-2738095238.0952382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2110616085.7848959,15173613123.95075,-2110616085.7848964,0,0,0,0,-5476190476.1904764,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-2738095238.0952382,1.9069454545756969e-11,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,456349315.15133566,-456349315.15133566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912698630.30267131,-1901455479.7972319,988756849.49456084,0,0,0,0,1901455479.7972322,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,-494378424.7472803,494378424.74728042,0,0,0,0,950727739.89861608,-950727739.89861619,0,0,0,0,0,0,0,0,0,-950727739.89861596,950727739.89861608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861596,-1901455479.7972322,950727739.89861619,0,0,0,0,-950727739.89861608,950727739.89861619,0,0,0,0,0,0,0,0,0,0,950727739.89861608,-950727739.89861619,0,0,0,0,950727739.89861608,-950727739.89861619,0,0,0,0,0,0,0
0,0,0,1.9069454545756969e-11,-2738095238.0952387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2110616085.7848964,15173613123.95075,-2110616085.7848964,0,0,0,0,-5476190476.1904774,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,1.9069454545756969e-11,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912698630.30267155,-1901455479.7972322,988756849.49456084,0,0,0,0,1901455479.7972324,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,494378424.74728042,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-1901455479.7972322,950727739.89861619,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0
0,0,0,0,1.9069454545756969e-11,-912698412.6984129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2110616085.7848964,6674108149.2769604,0,0,0,0,0,-2738095238.0952387,0,0,0,0,0,0,0,0,0,0,0,-912698412.6984129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456349315.15133578,-456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912698630.30267155,-1901455479.7972322,0,0,0,0,0,988756849.49456084,0,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,456349315.15133578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861608,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,494378424.74728042,0,0,0,0,0,494378424.74728042,0,0,0,0,0,0
1.5204012773913783e-11,0,0,0,0,0,-2738095238.0952387,0,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,0,0,0,0,0,15173613123.95075,-4221232171.5697923,0,0,0,0,-2738095238.0952387,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-2738095238.0952387,9.5347272728784846e-12,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,0,494378424.74728042,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,0,0,0,0,0,0,988756849.49456084,0,0,0,0,0,-1901455479.7972322,1901455479.7972324,0,0,0,0,912698630.30267155,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,-456349315.15133578,950727739.89861619,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0,494378424.74728042,0,0,0,0,0,988756849.49456084,0,0,0,0,0,0,0,0,0,0,0,-494378424.74728042,0,0,0,0,0,-1901455479.7972322,1901455479.7972326,0,0,0,0,-456349315.15133578,950727739.89861619,0,0,0,0,0,0,0,0,0,0,912698630.30267155,-1901455479.7972324,0,0,0,0,456349315.15133578,-950727739.89861619,0,0,0,0
9.5347272728784846e-12,1.5204012773913783e-11,0,0,0,0,9.5347272728784846e-12,-5476190476.1904774,0,0,0,0,0,0,0,0,0,0,1.9069454545756969e-11,-5476190476.1904774,0,0,0,0,-4221232171.5697923,30347226247.901497,-4221232171.5697923,0,0,0,0,-5476190476.1904774,1.9069454545756969e-11,0,0,0,0,0,0,0,0,0,0,-5476190476.1904774,9.5347272728784846e-12,0,0,0,0,1.5204012773913783e-11,9.5347272728784846e-12,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,0,0,0,0,0,0,-1901455479.7972324,1901455479.7972324,0,0,0,0,1901455479.7972324,-3802910959.5944643,1901455479.7972324,0,0,0,0,1901455479.7972324,-1901455479.7972324,0,0,0,0,0,0,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,-1901455479.7972324,1901455479.7972324,0,0,0,0,0,0,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0,0,1901455479.7972322,-3802910959.5944643,1901455479.7972326,0,0,0,0,-950727739.89861619,950727739.89861619,0,0,0,0,0,0,0,0,0,0,1901455479.7972324,-1901455479.7972324,0,0,0,0,950727739.89861619,-950727739.89861619,0,0,0
